hexagon_id,o_score_pt,o_score_car,CDI,population,geometry
0,0.0,5177.924756783546,1.0,0.0,"POLYGON ((-73.78274800562356 40.820465483540104, -73.7848582972285 40.819530331372995, -73.78479674613166 40.81776815325091, -73.78262506430254 40.81694112576408, -73.78051484853076 40.81787620844752, -73.78057623875458 40.81963838809862, -73.78274800562356 40.820465483540104))"
1,1950.3642640536787,4351.7822880586,0.38104763260385344,498.04684448098357,"POLYGON ((-73.85321401459173 40.578262839310156, -73.85531217719576 40.577329012578964, -73.8552483070082 40.575572177078165, -73.85308643343369 40.57474916654854, -73.85098834553966 40.575682923932035, -73.85105205650973 40.57743976119006, -73.85321401459173 40.578262839310156))"
2,3649.801937778556,5969.013281924802,0.24111195518087622,371.5153131798315,"POLYGON ((-73.78520011294543 40.70672107922297, -73.78730525372265 40.70578711191652, -73.78724375976935 40.704027441562175, -73.78507728513372 40.70320173697017, -73.78297221981106 40.70413563490273, -73.78303355366907 40.705895306798375, -73.78520011294543 40.70672107922297))"
3,7110.081453724695,7838.737676214106,0.04874339679647951,1944.1199976982728,"POLYGON ((-73.98331584006392 40.68832342060825, -73.98541654640364 40.687385984523345, -73.98534764798575 40.68562669232776, -73.98317820317973 40.684804834057154, -73.98107757125877 40.68574220048912, -73.98114630972461 40.68750149484181, -73.98331584006392 40.68832342060825))"
4,63.719869620762424,6279.022503655562,0.9799077856640587,0.0,"POLYGON ((-73.9808117402259 40.56959955607132, -73.9829071935498 40.56866346985572, -73.98283856276822 40.56690681036507, -73.9806746378087 40.56608623493449, -73.97857925854089 40.56702225162047, -73.97864773017605 40.568778913263834, -73.9808117402259 40.56959955607132))"
5,3182.4244565542735,5427.431367572759,0.2607484906689608,435.1538464767926,"POLYGON ((-74.11263367630164 40.56067580292884, -74.11472631735705 40.55973738780054, -74.11465277018003 40.55798091874482, -74.11248674101643 40.55716286225347, -74.1103941733402 40.55810120766616, -74.11046756144792 40.559857679282985, -74.11263367630164 40.56067580292884))"
6,2179.3419303375663,6015.401556118334,0.46811222732242036,0.0,"POLYGON ((-73.92663470804195 40.60271449804136, -73.92873262623597 40.601779047472995, -73.92866597479843 40.60002165832482, -73.92650156454292 40.599199717758374, -73.92440372077594 40.60013509884453, -73.92447021283701 40.60189248997654, -73.92663470804195 40.60271449804136))"
7,0.0,4131.074015638661,1.0,0.0,"POLYGON ((-73.83986372288139 40.56278403852508, -73.84196143718475 40.561850627791074, -73.84189808728921 40.560094138624244, -73.83973718220369 40.55927105847218, -73.83763954262658 40.56020439989408, -73.83770273340832 40.561960890777364, -73.83986372288139 40.56278403852508))"
8,6540.786793362756,7384.68030475499,0.0606007328476831,14.382826151445247,"POLYGON ((-74.00956587880052 40.70346296322845, -74.01166678100556 40.70252487593591, -74.01159687576191 40.7007652467844, -74.00942622836484 40.69994370268442, -74.00732540049668 40.70088172026971, -74.00739514568822 40.70264135165944, -74.00956587880052 40.70346296322845))"
9,0.0,5232.798812486452,1.0,0.0,"POLYGON ((-74.04566266293821 40.53881169854217, -74.04775555980231 40.53787475756826, -74.04768455002277 40.53611877776895, -74.04552080230913 40.53529973658647, -74.04342797908562 40.536236607965705, -74.04349882993465 40.53799259011929, -74.04566266293821 40.53881169854217))"
10,2449.899853784636,4537.797656209729,0.2987962486124814,574.9448880213573,"POLYGON ((-73.91564404166347 40.877913732501504, -73.9177544912606 40.8769754873779, -73.91768786142445 40.875212025819614, -73.91551094324716 40.87438680744123, -73.91340056900914 40.87532498282317, -73.91346703758887 40.877088446322354, -73.91564404166347 40.877913732501504))"
11,13.474488403206372,3814.277698022999,0.9929595816307079,0.0,"POLYGON ((-74.20028338376896 40.56608133916149, -74.20237465082687 40.56514125262876, -74.20229781721441 40.56338466327096, -74.20012987563597 40.562568157610706, -74.19803868154148 40.56350817429371, -74.19811535606146 40.56526476648391, -74.20028338376896 40.56608133916149))"
12,6200.9790626579925,7231.2247503501285,0.07669967654112107,904.5944975259238,"POLYGON ((-73.94099859155503 40.7555307307966, -73.94310308107374 40.75459334393723, -73.94303567290389 40.75283257167146, -73.94086393562989 40.752009184238595, -73.9387595209528 40.75294650144076, -73.93882676870764 40.75470727573018, -73.94099859155503 40.7555307307966))"
13,1497.5226500159367,3539.4947512000213,0.4053931004270789,0.0,"POLYGON ((-74.25057589924249 40.498680377061426, -74.25266324462835 40.497740118822776, -74.25258464294642 40.495985031377245, -74.25041885450692 40.49517019917874, -74.24833158162782 40.49611038756286, -74.24841002468088 40.49786547799722, -74.25057589924249 40.498680377061426))"
14,811.1075241439647,3735.0137028009794,0.6431650263365105,150.24200972797834,"POLYGON ((-73.73872247582311 40.59700978922331, -73.74082354796712 40.59607787504287, -73.74076393691232 40.5943206453013, -73.73860341306552 40.59349532833559, -73.73650241625218 40.59442717332215, -73.73656186795459 40.596184404465504, -73.73872247582311 40.59700978922331))"
15,1973.8200152002387,5468.820329708978,0.4695914557928797,381.6242790243942,"POLYGON ((-73.72939948689566 40.76361812711334, -73.73150819179752 40.76268458058128, -73.7314487188388 40.76092366583557, -73.72928070146494 40.76009629625363, -73.72717207247587 40.761029773439674, -73.7272313849475 40.76279068955086, -73.72939948689566 40.76361812711334))"
16,0.47054769264580804,5464.803647268194,0.9998278045434282,0.0,"POLYGON ((-73.76370407674113 40.64124435703864, -73.76580667518246 40.64031149919811, -73.76574607217209 40.63855328258731, -73.76358303037111 40.63772792233691, -73.76148050727983 40.63866071090147, -73.7615409506391 40.64041892898959, -73.76370407674113 40.64124435703864))"
