hexagon_id,o_score_pt,o_score_car,CDI,population,geometry
0,1457.2698647789573,2247.221154161391,0.213241518293219,191.49032138723138,"POLYGON ((11.67469320897643 48.098811696778014, 11.674849305067978 48.09707903586117, 11.67728218424464 48.09639141864088, 11.67955906022652 48.097436452665214, 11.679403068620793 48.0991691299809, 11.67697009654511 48.09985675687473, 11.67469320897643 48.098811696778014))"
1,2522.7811761207136,2933.1648079027314,0.07521768598584687,908.6188014231836,"POLYGON ((11.506491073652656 48.17483412751305, 11.50665108687228 48.17310398797543, 11.509086164122625 48.17242122407153, 11.511361321750964 48.17346859024196, 11.511201412959608 48.17519874638491, 11.508766242109328 48.175881519753375, 11.506491073652656 48.17483412751305))"
2,2660.377328733157,3130.14184452837,0.08112649345233351,1018.6002709471535,"POLYGON ((11.521181613606196 48.118447175299835, 11.521341178921004 48.11671573397993, 11.523774453944275 48.11603185873136, 11.526048257065524 48.11707941534776, 11.525888796046013 48.11881087328191, 11.523455427607681 48.11949475798672, 11.521181613606196 48.118447175299835))"
3,1874.871990466037,2776.309845182114,0.19380834518383427,325.47753721427887,"POLYGON ((11.616283368767101 48.16759708579149, 11.616440913581572 48.165866219813694, 11.618875931810619 48.16518087201745, 11.621153498470711 48.16622638057673, 11.620996058240472 48.16795726300261, 11.618560946763642 48.16864262042243, 11.616283368767101 48.16759708579149))"
4,0.08619760201220285,2028.0943039448678,0.9999150000683407,15.10227104090537,"POLYGON ((11.503803735468345 48.22949641379567, 11.503963925363545 48.22776747878051, 11.506400772724117 48.227085531839, 11.508677523931805 48.22813251042391, 11.50851743861279 48.22986146201879, 11.506080497507654 48.230543418450324, 11.503803735468345 48.22949641379567))"
5,2639.9910288169067,2641.6758502321727,0.00031899425954886294,1009.3895273977719,"POLYGON ((11.494863344069111 48.09548244398619, 11.495023447857006 48.09375064176905, 11.497455936210912 48.09306704477141, 11.499728414212333 48.09411524058727, 11.499568414613675 48.0958470594697, 11.497135832822078 48.09653066587226, 11.494863344069111 48.09548244398619))"
6,1828.9516452223122,2745.359508445646,0.20033789404301955,267.9631255868239,"POLYGON ((11.596764243448007 48.09548562107908, 11.59692207306733 48.09375328935466, 11.599354726841621 48.09306738806805, 11.60162964412292 48.09411380895081, 11.601471918856301 48.09584615719069, 11.599039171953477 48.09653206803362, 11.596764243448007 48.09548562107908))"
7,0.42802909155828966,1612.0881211345388,0.9994691165214088,29.564347621766615,"POLYGON ((11.5070763435441 48.24542029211176, 11.507236494308554 48.243691687391866, 11.509673864791493 48.24300988680766, 11.511951178282153 48.24405668144116, 11.511791132143598 48.24578530272739, 11.509353667886211 48.2464671128151, 11.5070763435441 48.24542029211176))"
8,2401.4622432184974,2968.761029175262,0.10563783984048268,397.4213018020813,"POLYGON ((11.505336271639408 48.16167482626598, 11.50549628261044 48.15994440655014, 11.507930931289495 48.15926148687774, 11.510205662565898 48.160308977466684, 11.510045755984649 48.16203941379668, 11.50761101373496 48.16272234292486, 11.505336271639408 48.16167482626598))"
9,1930.3839564693833,2812.3011413918675,0.18595313977733655,661.0560786140264,"POLYGON ((11.482085399750975 48.131110931636464, 11.482245864585686 48.1293799692046, 11.484679484021628 48.12869715324007, 11.486952732185566 48.12974529030383, 11.486792371618261 48.131476269400444, 11.484358658617342 48.13215909476985, 11.482085399750975 48.131110931636464))"
10,2574.0093983702604,3077.893081190334,0.0891529329535155,755.1572006654492,"POLYGON ((11.520025030709085 48.105278572748944, 11.520184593898497 48.10354685171994, 11.52261744100994 48.10286282085383, 11.524890818315557 48.10391050157048, 11.524731359383063 48.10564223922255, 11.522298418885764 48.10632627953619, 11.520025030709085 48.105278572748944))"
11,1812.4742251029852,2552.938735123226,0.16962072472105147,437.47707622250186,"POLYGON ((11.45257433917321 48.16803267483611, 11.452735541728623 48.16630266907637, 11.455170306806542 48.165621031224724, 11.457443963073056 48.16666938975345, 11.457282864839852 48.168399412201204, 11.45484800601563 48.16908105943353, 11.45257433917321 48.16803267483611))"
12,1102.1984340905012,2253.6936678602915,0.34312641729465077,156.97599021540702,"POLYGON ((11.420758108330952 48.17861734458144, 11.420920043847904 48.17688773594394, 11.423355096476826 48.176206964607836, 11.425628307455382 48.17725579257154, 11.425466476238341 48.17898541793784, 11.423031329740548 48.17966619861292, 11.420758108330952 48.17861734458144))"
13,2232.4441803538753,2525.4596227555808,0.06158498669313358,841.6984320856579,"POLYGON ((11.65373543808501 48.09460204247275, 11.653891993606239 48.0928693978494, 11.65632470573568 48.09218219638752, 11.658600955294341 48.09322762991001, 11.65844450421401 48.094960290965375, 11.656011699131895 48.09564750206756, 11.65373543808501 48.09460204247275))"
14,1599.727065059758,2826.650908424424,0.27718460798296995,198.9890551270134,"POLYGON ((11.663641841944756 48.14244444381741, 11.6637982756471 48.14071278725366, 11.666232550233733 48.14002602132936, 11.668510484156462 48.141070902289826, 11.668354155043708 48.14280257524544, 11.665919787416389 48.14348935085002, 11.663641841944756 48.14244444381741))"
15,1897.4898941982108,2525.829337477692,0.14205157040890687,832.9557810857509,"POLYGON ((11.510416846439405 48.08098768070185, 11.510576572463998 48.07925548312449, 11.513008618390442 48.07857133435928, 11.515281031644701 48.07961937375236, 11.51512140979427 48.08135158798, 11.512689270513164 48.08203574616558, 11.510416846439405 48.08098768070185))"
