hexagon_id,o_score_pt,o_score_car,CDI,population,geometry
0,1038.9544958494566,1389.7011681742918,0.1444200911312907,1503.1993344416708,"POLYGON ((18.096252908724388 59.30369275481975, 18.096264668919094 59.30223703887462, 18.099144910115008 59.301571156127096, 18.102013490384916 59.30236096130514, 18.10200188817753 59.30381668058985, 18.099121547711782 59.30448259135871, 18.096252908724388 59.30369275481975))"
1,984.0818443045733,1346.9137931161847,0.1556553530117646,402.7363467571422,"POLYGON ((18.041820531875995 59.282847381911715, 18.04183378288117 59.281391096690925, 18.04471332501476 59.28072610497275, 18.04757971564764 59.281517370534026, 18.047566622468647 59.28297365916485, 18.044686980829354 59.283638678826115, 18.041820531875995 59.282847381911715))"
2,768.1631900566862,1039.665480884965,0.15018142769406373,427.2805777910022,"POLYGON ((17.89996067193614 59.37350562039212, 17.899977849030666 59.37205229311945, 17.902863449142583 59.371391983853584, 17.905731972824867 59.372184973920476, 17.90571495399926 59.37363830474872, 17.90282925322117 59.374298641956294, 17.89996067193614 59.37350562039212))"
3,614.5481307491415,988.9512689389155,0.23349128678352482,69.52424291971116,"POLYGON ((17.90229873454363 59.41932906865912, 17.90231586219365 59.41787714207667, 17.905203953187165 59.41721752593417, 17.90807501735722 59.41800980836723, 17.908058048253146 59.41946173849032, 17.90516985643186 59.420121382641476, 17.90229873454363 59.41932906865912))"
4,798.6763438884038,1151.126449043471,0.18076192445344474,16.636104457511472,"POLYGON ((17.983740503736122 59.34269305045091, 17.983755367034693 59.34123867031225, 17.98663862830158 59.34057596495975, 17.989507126335006 59.34136761177319, 17.98949242118 59.34282199537564, 17.98660905984686 59.34348472870264, 17.983740503736122 59.34269305045091))"
5,430.0741168469665,849.137220395051,0.3275948948760769,722.4499455396045,"POLYGON ((17.81923494901779 59.38469902345307, 17.81925435096543 59.38324614735719, 17.82214118660216 59.38258784679133, 17.825008721463416 59.38338239443946, 17.824989477793093 59.384835274184034, 17.82210254098292 59.385493602633545, 17.81923494901779 59.38469902345307))"
6,797.8983550993992,1203.7179271734965,0.20274593870373445,12.855128372091812,"POLYGON ((17.91752426805174 59.34773602081304, 17.9175409537856 59.34628188138854, 17.920425009201747 59.34562075549418, 17.923292479349623 59.346413741104655, 17.92327595174274 59.34786788407059, 17.92039179585977 59.348529037886365, 17.91752426805174 59.34773602081304))"
7,629.3972131574294,1029.3221248984792,0.24110462967760368,0.0,"POLYGON ((18.08131485374249 59.37102304584113, 18.08132704002569 59.36956940946246, 18.08421107248343 59.36890495988134, 18.087083018266274 59.369694118578145, 18.087070990363344 59.37114775829683, 18.08418685829607 59.371812235980464, 18.08131485374249 59.37102304584113))"
8,836.3062758191,1259.7729452774693,0.20202798882612438,625.7230164459713,"POLYGON ((18.007516000591377 59.264606306651636, 18.00753018909533 59.2631495075078, 18.01040901185118 59.26248499467301, 18.01327374573653 59.26327725309738, 18.013259714926583 59.264734055697026, 18.010380792536075 59.26539859641827, 18.007516000591377 59.264606306651636))"
9,903.875381304009,1239.7301837122975,0.15667751935778054,523.5393769545984,"POLYGON ((18.056320865881187 59.26786929613596, 18.056333714895253 59.266412534659445, 18.059212327783293 59.26574697169116, 18.062078191021918 59.26653814226596, 18.062065499754606 59.267994907139084, 18.059186787500735 59.26866049804256, 18.056320865881187 59.26786929613596))"
10,732.9178578395653,1115.4324552538162,0.2069491885302187,64.30353784052525,"POLYGON ((18.116794532085862 59.24950511681192, 18.11680571622926 59.24804771855328, 18.119682848337256 59.247380490596676, 18.122548895249274 59.248170632936585, 18.12253786878403 59.24962803452431, 18.119660637727495 59.25029529044484, 18.116794532085862 59.24950511681192))"
11,1206.301361272583,1395.68764054243,0.07278519591656261,493.8405178825567,"POLYGON ((18.08782745708018 59.279481466259455, 18.08783944336915 59.278025020306266, 18.090718435475768 59.27735893416667, 18.09358554052 59.27814926600222, 18.09357371206825 59.27960571531132, 18.090694620733867 59.28027182943078, 18.08782745708018 59.279481466259455))"
12,665.458364831583,1071.2955790877584,0.2336757119090344,0.12591046779216866,"POLYGON ((18.148306459873435 59.261107246753134, 18.148316780983343 59.25965016443428, 18.151194288439697 59.25898241326781, 18.154061573594962 59.25977171641355, 18.154051410252972 59.26122880202075, 18.151173803986694 59.261896581195636, 18.148306459873435 59.261107246753134))"
13,815.054276672779,1133.2101422346661,0.16330219988327033,716.4432999927285,"POLYGON ((17.923919855207348 59.29112331003773, 17.923936347401966 59.28966743027235, 17.926817267394895 59.28900523892586, 17.92968179540723 59.289798899498884, 17.929665461006017 59.291254782812985, 17.926784440797835 59.291917002007104, 17.923919855207348 59.29112331003773))"
14,831.0836105708256,1226.428147705206,0.1921469150998367,359.9366837858392,"POLYGON ((17.984453020730694 59.27283256574077, 17.98446784484986 59.271376047747566, 17.98734729632183 59.27071219007458, 17.990212023471724 59.27150482251951, 17.99019735707955 59.27296134399394, 17.987317805809315 59.273625229543974, 17.984453020730694 59.27283256574077))"
15,1494.610085761318,1476.205114735923,-0.006195259477033285,1701.9711356270363,"POLYGON ((18.055625969036303 59.34646826670915, 18.055638856263098 59.345013910577535, 18.058521753479212 59.344349641785406, 18.061391863132844 59.34513970108184, 18.061379134121665 59.34659406059048, 18.0584961372401 59.34725835742745, 18.055625969036303 59.34646826670915))"
