hexagon_id,o_score_pt,o_score_car,CDI,population,geometry
0,879.8539491604622,1223.2244283422556,0.16327041486182065,306.69103708277135,"POLYGON ((-122.36609690084502 47.56421585719292, -122.36490662520944 47.565757845777675, -122.36630415363851 47.56707146901299, -122.36889195662945 47.56684308401295, -122.3700821469723 47.565301092385724, -122.36868461962052 47.56398748880059, -122.36609690084502 47.56421585719292))"
1,473.0021801506844,1035.451826870905,0.37286496247291334,183.34229228980536,"POLYGON ((-122.32377505725134 47.519066550869724, -122.3225843522943 47.52060913608722, -122.32398081276997 47.52192447094676, -122.32656797729716 47.52169720092777, -122.32775859715676 47.52015461264042, -122.32636213759015 47.51883929744152, -122.32377505725134 47.519066550869724))"
2,598.6170878506842,916.769571416115,0.20994805624022378,269.8637102354245,"POLYGON ((-122.38751299122839 47.536453931900645, -122.38632364926765 47.537996565669715, -122.38772087695725 47.53931048431794, -122.39030744545005 47.53908174954958, -122.39149670212187 47.537539112786135, -122.3900994755934 47.53622521378504, -122.38751299122839 47.536453931900645))"
3,707.9694292498082,1051.0760648469206,0.19505273555946204,507.60486046460954,"POLYGON ((-122.38415259010871 47.54393812148043, -122.38296305744456 47.54548059555222, -122.38436038428617 47.54679439608954, -122.38694724264742 47.54656570290718, -122.38813669001566 47.54502322583136, -122.38673936432215 47.54370944494151, -122.38415259010871 47.54393812148043))"
4,387.19351248998834,1183.2022968457263,0.5068841750745972,88.28912151752711,"POLYGON ((-122.37489756386017 47.577807183587026, -122.37370731807735 47.57934896909096, -122.375105138533 47.580662139632835, -122.37769320366267 47.58043350502255, -122.37888336410354 47.578891716478964, -122.37748554476033 47.57757856558493, -122.37489756386017 47.577807183587026))"
5,626.2194220468056,1060.6187343918225,0.25752281609644845,283.6507055917392,"POLYGON ((-122.38037616165585 47.5457091971978, -122.3791865085553 47.54725161601806, -122.38058383653016 47.548565436203546, -122.3831708164759 47.54833681792017, -122.38436038428617 47.54679439608954, -122.38296305744456 47.54548059555222, -122.38037616165585 47.5457091971978))"
6,402.8891109800909,1036.2019634502399,0.4400783687167597,301.0830635121909,"POLYGON ((-122.38706297051837 47.58391494131455, -122.385872945625 47.5854566836275, -122.38727095888653 47.586769519586525, -122.38985899588438 47.58654059358712, -122.39104893539356 47.58499884824704, -122.38965092329273 47.58368603193311, -122.38706297051837 47.58391494131455))"
7,225.70756248314962,837.3592713849011,0.575365244606691,220.41951843701304,"POLYGON ((-122.36950548036444 47.50353580396302, -122.36831614884693 47.505078947809636, -122.36971269533493 47.506393909102655, -122.3722985722548 47.50616570689631, -122.3734878185941 47.504622560052866, -122.37209127319528 47.503307618412165, -122.36950548036444 47.50353580396302))"
8,596.2840590548245,950.8719078549898,0.22918687991644132,175.31154692481687,"POLYGON ((-122.34767646054347 47.52559222048482, -122.34648626635094 47.527134824050705, -122.34788301492937 47.52844962787263, -122.35046995670031 47.52822180847274, -122.35166006572351 47.526679201865335, -122.35026331814869 47.525364417698974, -122.34767646054347 47.52559222048482))"
9,660.2809438284378,937.316026382807,0.1734073660128047,600.6752506099989,"POLYGON ((-122.35983426208091 47.53170977541413, -122.35864428825444 47.533252335852126, -122.36004122968816 47.53456680527406, -122.36262814390022 47.53433869460472, -122.3638180325152 47.53279613113769, -122.36242109213322 47.531481681368625, -122.35983426208091 47.53170977541413))"
10,402.2727096441684,1035.2899964610733,0.44034064331838807,377.72407647385415,"POLYGON ((-122.38328487114632 47.58568551803602, -122.38209472570011 47.587227205015445, -122.3834927401075 47.588540060620275, -122.38608089881883 47.588311209599475, -122.38727095888653 47.586769519586525, -122.385872945625 47.5854566836275, -122.38328487114632 47.58568551803602))"
11,440.8285205616181,864.6316457363544,0.32463887915979717,226.41754704018587,"POLYGON ((-122.37012716672977 47.5121097562666, -122.36893772978958 47.51365274352693, -122.37033442315686 47.514967498277606, -122.37292055237606 47.51473924611576, -122.37410990411921 47.51319625585367, -122.37271321184383 47.511881520754756, -122.37012716672977 47.5121097562666))"
12,482.39639788073436,839.2138262746187,0.26998688559777745,286.3045444345926,"POLYGON ((-122.3739025284503 47.510338478294656, -122.37271321184383 47.511881520754756, -122.37410990411921 47.51319625585367, -122.37669591189798 47.512967928840965, -122.37788514330175 47.51142488338549, -122.37648845213307 47.51011016793768, -122.3739025284503 47.510338478294656))"
13,496.15541046156346,1207.769276429586,0.4176322295478791,1.9101668631847641,"POLYGON ((-122.35056947628811 47.565584901493196, -122.3493787891572 47.56712677326899, -122.3507762236978 47.56844061289271, -122.35336434435696 47.56821256108699, -122.35455494623045 47.56667068624657, -122.35315751270578 47.5653568662761, -122.35056947628811 47.565584901493196))"
14,626.0162490785534,993.2807565407113,0.22680490743062023,155.35716881596437,"POLYGON ((-122.37199297226708 47.53782507578722, -122.37080321895009 47.53936759306052, -122.37220035313825 47.5406817280542, -122.37478723954713 47.540453326124016, -122.3759769076104 47.5389108058342, -122.37457977452218 47.537596690490666, -122.37199297226708 47.53782507578722))"
15,630.8464737440136,951.2709125952806,0.20252886518911573,125.17902718208933,"POLYGON ((-122.3487093702716 47.53987804636727, -122.34751900007504 47.54142038867434, -122.34891599356368 47.54273484819365, -122.3515033562444 47.542506945750795, -122.35269364124014 47.540964600393956, -122.35129664875957 47.53965016052936, -122.3487093702716 47.53987804636727))"
